Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
CacaNito	"Aleksandar ""CacaNito"" Kjulukoski (born November 9, 2000) is a Macedonian professional Counter-Strike: Global Offensive player for Apeks."	Aleksandar Kjulukoski		North Macedonia	November  9, 2000 (age 22)	Active	2019 – Present			Rifler	Apeks			$50,313	Global Offensive
dan1	"Daniel ""dan1"" Gligorov (born October 18, 1999) is a Macedonian professional Counter-Strike: Global Offensive player."	Daniel Gligorov		North Macedonia	October 18, 1999 (age 23)	Active	2019 – Present			Rifler				$28,381	Global Offensive
kyxsan	"Damjan ""kyxsan"" Stoilkovski (born May 26, 2000) is a Macedonian professional Counter-Strike: Global Offensive player for Apeks."	Дамјан Стоилковски	Damjan Stoilkovski	North Macedonia	May 26, 2000 (age 23)	Active	2018 – Present				Apeks		Kyxsan	$68,085	Global Offensive
Necrogenes1s	"Andrej ""Necrogenes1s"" Mancheski (born October 18, 1998) is a Macedonian professional Counter-Strike: Global Offensive player."	Андреј Манчески	Andrej Mancheski	North Macedonia	October 18, 1998 (age 24)	Active	2019 – Present			Rifler				$11,020	Global Offensive
NENO	"Anel ""NENO"" Chekovikj (born October 3, 1993) is a Macedonian professional Counter-Strike: Global Offensive and former semi-professional Counter-Strike player."	Анел Чековиќ	Anel Chekovikj	North Macedonia	October  3, 1993 (age 30)	Active	2010 – Present							$26,613	Global Offensive
stYleEeZ	"Pavle ""stYleEeZ"" Stojanovski (born April 9, 2000) is a Macedonian professional Counter-Strike: Global Offensive player."	Pavle Stojanovski		North Macedonia	April  9, 2000 (age 23)	Active	2018 – Present			Rifler				$29,049	Global Offensive
xicoz	"Zoran ""xicoz"" Markovski (born April 29, 2003) is a Macedonian professional Counter-Strike: Global Offensive player."	Zoran Markovski		North Macedonia	April 29, 2003 (age 20)	Active	2021 – Present			Rifler	IKLA			$9,591	Global Offensive
akEz	"Kristian ""akEz"" Kornbakk (born June 4, 1992) is a Norwegian professional Counter-Strike: Global Offensive player."	Kristian Kornbakk		Norway	June  4, 1992 (age 31)	Active	2015 – Present				Bitfix Gaming			$18,661	Global Offensive
aNdz	"Anders ""aNdz"" Kjær (born May 31, 1992) is a former Norwegian professional Counter-Strike: Global Offensive and Counter-Strike: Source player."	Anders Kjær		Norway	May 31, 1992 (age 31)	Active	2010 – 2019			In-game leader	Apeks			$11,703	Global Offensive
aurora	"Aurora ""aurora"" Lyngdal (born April 26, 1996) is a Norwegian professional Counter-Strike: Global Offensive player and former Counter-Strike: Source and Counter-Strike player."	Aurora Lyngdal		Norway	April 26, 1996 (age 27)	Active	2005 – Present			entry fragger	Astralis Female			$4,259	Global Offensive
becker	"Henrik ""becker"" Becker is an inactive Norwegian professional Counter-Strike: Global Offensive player."	Henrik Becker		Norway		Inactive	2015 – 2018							$4,682	Global Offensive
bfr	"Bjørnar ""bfr"" Fauske Røn (born December 3, 2001) is a Norwegian professional Counter-Strike: Global Offensive player."	Bjørnar Fauske Røn		Norway	December  3, 2001 (age 21)	Active	2018 – 2021, 2022 – Present			Rifler	Wizard esports		BFR	$4,554	Global Offensive
cromen	"Jørgen ""cromen"" Robertsen (born May 31, 1995) is a Norwegian professional Counter-Strike: Global Offensive player."	Jørgen Robertsen		Norway	May 31, 1995 (age 28)	Active	2013 – 2020, 2022 – Present			Rifler				$61,300	Global Offensive
enix	"Mikal ""enix"" Aakvik Øiestad is a Norwegian Counter-Strike: Global Offensive player."	Mikal Aakvik Øiestad		Norway		Active	2015 – 2018, 2020 – Present							$3,030	Global Offensive
fletch	"Snorre ""fletch"" Granerud (born January 10, 1996) is a Norwegian professional Counter-Strike: Global Offensive coach for 777 Esports, and a former professional player."	Snorre Granerud		Norway	January 10, 1996 (age 27)	Active	2015 – 2021	2021 – Present		Coach				$4,319	Global Offensive
Grus	"Sander Nordeide ""Grus"" Iversen (born October 10, 1997) is a Norwegian professional Counter-Strike: Global Offensive player."	Sander Nordeide Iversen		Norway	October 10, 1997 (age 26)	Active	2018 – Present			Rifler			Grusarn	$21,809	Global Offensive
H4RR3	"Haris ""H4RR3"" Hadžić (born March 22, 1997) is a Norwegian professional Counter-Strike: Global Offensive player of Bosnian descent."	Haris Hadžić		Norway	March 22, 1997 (age 26)	Active	2017 – Present			entry fragger	Metizport X		harre, harredaking	$25,974	Global Offensive
hallzerk	"Håkon ""hallzerk"" Fjærli (born July 14, 2000) is a Norwegian professional Counter-Strike: Global Offensive player. He is the younger brother of former professional Counter-Strike player Martin ""hellzERk"" Solbakken."	Håkon Fjærli		Norway	July 14, 2000 (age 23)	Active	2016 – Present			AWPer	Complexity Gaming		hzk	$75,939	Global Offensive
hEllberg	"Christoffer ""hEllberg"" Andersen (born November 11, 1998) is a Norwegian professional Counter-Strike: Global Offensive player."	Christoffer Andersen		Norway	November 11, 1998 (age 24)	Active	2016 – Present			Rifler			organner, hEscobar, Exiqe	$4,570	Global Offensive
Jimbo	"Jesper ""Jimbo"" Kamsrud (born January 6, 1998) is a Norwegian professional Counter-Strike: Global Offensive player."	Jesper Kamsrud		Norway	January  6, 1998 (age 25)	Active	2017 – Present			In-game leader				$7,423	Global Offensive
jkaem	"Joakim ""jkaem"" Myrbostad (born February 27, 1994) is a Norwegian professional Counter-Strike: Global Offensive player for Apeks. Prior to joining the Renegades-100 Thieves core in 2018, he played in numerous Europe-based lineups such as Copenhagen Wolves, G2 Esports, FaZe Clan and Team Dignitas."	Joakim Myrbostad		Norway	February 27, 1994 (age 29)	Active	2013 – Present			entry fragger	Apeks			$230,688	Global Offensive
kalle	"Karl-William ""kalle"" Haraldsen (born October 15, 1991) is a Norwegian professional Counter-Strike: Global Offensive and former Counter-Strike player."	Karl-William Haraldsen		Norway	October 15, 1991 (age 31)	Active	2009 – Present							$35,695	Global Offensive
KORN	"Kristian ""KORN"" Hokland (born July 15, 1992) is a Norwegian professional Counter-Strike: Global Offensive and Counter-Strike player."	Kristian Hokland		Norway	July 15, 1992 (age 31)	Active	2010 - Present			Rifler				$11,834	Global Offensive
LaX	"Eskil ""LaX"" Bjørnsen (born July 26, 2000) is a Norwegian professional Counter-Strike: Global Offensive player."	Eskil Bjørnsen		Norway	July 26, 2000 (age 23)	Active	2018 – Present			Rifler	Metizport X			$6,146	Global Offensive
Marcelious	"Ole Kristian ""Marcelious"" Langan is a Norwegian professional Counter-Strike: Global Offensive player."	Ole Kristian Langan		Norway		Active	2017 – Present			AWPer				$22,355	Global Offensive
mikki	"Mikael ""mikki"" Gaup (born December 19, 1998) is a Norwegian professional Counter-Strike: Global Offensive player."	Mikael Gaup		Norway	December 19, 1998 (age 24)	Active	2017 – Present			AWPer				$12,054	Global Offensive
NiTo	"Tony ""NiTo"" Nilsen (born March 24, 1994) is a Norwegian professional Counter-Strike: Global Offensive player."	Tony Nilsen		Norway	March 24, 1994 (age 29)	Active	2015 – Present							$1,304	Global Offensive
Philip	"Philip ""Philip"" Løseth (born July 15, 1996) is a Norwegian professional Counter-Strike: Global Offensive coach and former player."	Philip Løseth		Norway	July 15, 1996 (age 27)	Active	2015 – 2019	2021 – Present		Coach	Bitfix Gaming			$1,344	Global Offensive
Polly	"Pål ""Polly"" Kammen (born March 7, 1991) is a Norwegian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive and Counter-Strike player."	Pål Kammen		Norway	March  7, 1991 (age 32)	Active	2011 – 2019, 2020	2019 – Present		Coach	Preasy Esport			$11,819	Global Offensive
Radifaction	"Haakon ""Radifaction"" Tholo is a Norwegian professional Counter-Strike: Global Offensive player."	Haakon Bauer-Nilsen Tholo		Norway		Active	2016 – 2021, 2022 – Present			Rifler			radifactioN	$17,800	Global Offensive
RashiiiE	"Raymond ""RashiiiE"" Nielsen is an inactive Norwegian professional Counter-Strike: Global Offensive and Counter-Strike player."	Raymond Nielsen		Norway		Inactive	2009 – 2010, 2015 – 2020, 						RashiE, RASHIIIE	$20,012	Global Offensive
sense	"Ådne ""sense"" Fredriksen (born September 30, 2003) is a Norwegian professional Counter-Strike: Global Offensive player."	Ådne Fredriksen		Norway	September 30, 2003 (age 20)	Active	2018 – Present			In-game leader	Apeks			$7,561	Global Offensive
shyyne	"Tobias ""shyyne"" Sæther (born August 4, 1999) is a Norwegian professional Counter-Strike: Global Offensive player."	Tobias Sæther		Norway	August  4, 1999 (age 24)	Active	2016 – Present			AWPer	ex-Coalesce			$9,358	Global Offensive
SLY	"Steffen ""SLY"" Amundsen (born February 18, 2002) is a Norwegian professional Counter-Strike: Global Offensive player."	Steffen Amundsen		Norway	February 18, 2002 (age 21)	Active	2019 – Present			Rifler	Pompa Team		Sly, sly	$10,227	Global Offensive
Trax	"Preben ""Trax"" Martinsen (born August 9, 2001) is a Norwegian professional Counter-Strike: Global Offensive player."	Preben Martinsen		Norway	August  9, 2001 (age 22)	Active	2019 – Present			In-game leader				$4,152	Global Offensive
truth	"Erik ""truth"" Hansen Dyrnes (born November 25, 1996) is a Norwegian professional Counter-Strike: Global Offensive player."	Erik Hansen Dyrnes		Norway	November 25, 1996 (age 26)	Active	2015 – Present			Rifler				$22,298	Global Offensive
vENdetta	"Halvor ""vENdetta"" Gulestøl (born May 1, 1989) is a Norwegian caster, analyst, and a retired professional Counter-Strike: Global Offensive and Counter-Strike: Source player."	Halvor Gulestøl		Norway	May  1, 1989 (age 34)	Active	2007 – 2009, 2013 – 2014, 2016	2020 – 2021, 2022 – Present	2020 2022					$4,354	Global Offensive
zame	"Jonathan ""zame"" Nyhagen is a Norwegian professional Counter-Strike: Global Offensive player."	Jonathan Nyhagen		Norway		Active	2018 – Present			Rifler				$2,385	Global Offensive
zEVES	"Morten ""zEVES"" Vollan (born April 17, 1991) is a retired Norwegian professional Counter-Strike: Global Offensive coach and player and former professional Counter-Strike player. He is currently working for Metizport as a Sports Director."	Morten Vollan Christensen		Norway	April 17, 1991 (age 32)	Active	2010 – 2017, 2022 – 2023, 	2017 – 2018, 2020 – 2023, 			Metizport			$7,612	Global Offensive
ztk	"Jon Erik ""ztk"" Øygarden (born November 6, 1995) is a Norwegian professional Counter-Strike: Global Offensive player."	Jon Erik Øygarden		Norway	November  6, 1995 (age 27)	Active	2015 – Present			Rifler	Wizard esports			$11,345	Global Offensive
zykes	"Daniel ""zykes"" Jensen (born July 27, 2000) is a Norwegian professional Counter-Strike: Global Offensive player."	Daniel Jensen		Norway	July 27, 2000 (age 23)	Active	2017 – Present			lurker	Wizard esports			$7,276	Global Offensive
AlcesT	"Adrian ""AlcesT"" Chyziak (born December 16, 1998) is a Polish professional Counter-Strike: Global Offensive coach and former player."	Adrian Chyziak		Poland	December 16, 1998 (age 24)	Active	2017 – 2020	2021 – Present		Coach	NAVI Javelins		Alcezd		Global Offensive
Angelka	"Angelika ""Angelka"" Kozłowska (born October 27, 2001) is a Polish professional Counter-Strike: Global Offensive player."	Angelika Kozłowska		Poland	October 27, 2001 (age 21)	Active	2018 – Present			Rifler	NAVI Javelins			$17,506	Global Offensive
asran	"Mateusz ""asran"" Niewiatowski (born July 30, 2003) is a Polish professional Counter-Strike: Global Offensive player."	Mateusz Niewiatowski		Poland	July 30, 2003 (age 20)	Active	2020 – Present			Rifler				$4,055	Global Offensive
azizz	"Łukasz ""azizz"" Kałkowski (born October 25, 1997) is a Polish professional Counter-Strike: Global Offensive player."	Łukasz Kałkowski		Poland	October 25, 1997 (age 25)	Active	2017 – Present			AWPer				$12,966	Global Offensive
b1elany	"Maciej ""b1elany"" Biliński (formerly stylized as Bielany) (born February 15, 2002) is a Polish professional Counter-Strike: Global Offensive player."	Maciej Biliński		Poland	February 15, 2002 (age 21)	Active	2018 – Present			Rifler	Turów Zgorzelec Esport		Bielany	$10,969	Global Offensive
bajmi	"Wojciech ""bajmi"" Strzelczyk (born July 20, 2002) is a Polish professional Counter-Strike: Global Offensive player."	Wojciech Strzelczyk		Poland	July 20, 2002 (age 21)	Active	2021 – Present				ThunderFlash			$6,366	Global Offensive
baljs	"Bartosz ""baljs"" Mikołajewicz (born September 14, 1993) is a Polish professional Counter-Strike: Global Offensive player."	Bartosz Mikołajewicz		Poland	September 14, 1993 (age 30)	Active	2018 – Present			AWPer				$4,055	Global Offensive
blacktear5	"Piotr ""blacktear5"" Kasiński (born August 13, 2001) is a Polish professional Counter-Strike: Global Offensive player."	Piotr Kasiński		Poland	August 13, 2001 (age 22)	Active	2020 – Present			lurker				$4,557	Global Offensive
bnox	"Bartosz ""bnox"" Niebisz (born April 17, 2000) is a Polish professional Counter-Strike: Global Offensive player."	Bartosz Niebisz		Poland	April 17, 2000 (age 23)	Active	2017 – Present			Rifler	Pompa Team			$19,608	Counter-Strike
Bogdan	"Jędrzej ""Bogdan"" Rokita (born November 4, 1997) is a Polish professional Counter-Strike: Global Offensive coach and commentator."	Jędrzej Rokita		Poland	November  4, 1997 (age 25)	Active		2019 – Present			GamerLegion				Global Offensive
byali	"Paweł ""byali"" Bieliński (born April 30, 1994) is a Polish professional Counter-Strike: Global Offensive player."	Paweł Mateusz Bieliński		Poland	April 30, 1994 (age 29)	Active	2013 – Present						byalko	$584,493	Global Offensive
casey	"Mariusz ""casey"" Jarząb (born November 4, 1999) is a Polish professional Counter-Strike: Global Offensive player."	Mariusz Jarząb		Poland	November  4, 1999 (age 23)	Active	2020 – Present			Rifler			skrzynka, SKRZYNKA	$13,907	Global Offensive
Crityourface	"Szymon ""Crityourface"" Pluta (born January 31, 2002) is a Polish professional Counter-Strike: Global Offensive player."	Szymon Pluta		Poland	January 31, 2002 (age 21)	Active	2017 – Present			AWPer				$11,532	Global Offensive
Danuu	"Danuta ""Danuu"" Grajkowska (born May 9, 1996) is a Polish professional Counter-Strike: Global Offensive player."	Danuta Grajkowska		Poland	May  9, 1996 (age 27)	Active	2016 – Present			lurker				$11,895	Global Offensive
darchevile	"Wojciech ""darchevile"" Klęba (born August 27, 1999) is a Polish professional Counter-Strike: Global Offensive player."	Wojciech Klęba		Poland	August 27, 1999 (age 24)	Active	2018 – Present			In-game leader			gwach, gwachQar	$20,689	Global Offensive
darko	"Kacper ""darko"" Ściera (born December 12, 1997) is a Polish professional Counter-Strike: Global Offensive player."	Kacper Ściera		Poland	December 12, 1997 (age 25)	Active	2015 – Present			Rifler	Turów Zgorzelec Esport			$39,150	Global Offensive
Demho	"Patryk ""Demho"" Tomaszewski (born February 7, 2001) is a Polish professional Counter-Strike: Global Offensive player."	Patryk Tomaszewski		Poland	February  7, 2001 (age 22)	Active	2018 – Present			lurker	ThunderFlash			$9,728	Global Offensive
DESTROJ	"Maciej ""DESTROJ"" Deorocki (born November 7, 1997) is a Polish professional Counter-Strike: Global Offensive player."	Maciej Deorocki		Poland	November  7, 1997 (age 25)	Active	2016 – Present						NotDestroy	$5,369	Global Offensive
dycha	"Paweł ""dycha"" Dycha (born August 11, 1997) is a Polish professional Counter-Strike: Global Offensive player for ENCE."	Paweł Dycha		Poland	August 11, 1997 (age 26)	Active	2017 – Present			Rifler	ENCE			$316,452	Global Offensive
Enzo	"Karol ""Enzo"" Lasota (born January 14, 1998) is a Polish professional Counter-Strike: Global Offensive player."	Karol Lasota		Poland	January 14, 1998 (age 25)	Active	2017 – Present				Permitta Esports			$26,566	Global Offensive
Ex1st	"Mateusz ""Ex1st"" Witman (born October 25, 2004) is a Polish professional Counter-Strike: Global Offensive player."	Mateusz Witman		Poland	October 25, 2004 (age 18)	Active	2020 – Present			Rifler	ThunderFlash			$6,648	Global Offensive
EXUS	"Konrad ""EXUS"" Jeńczeń (born October 18, 1997) is a Polish professional Counter Strike: Global Offensive player and former Counter-Strike player."	Konrad Jeńczeń		Poland	October 18, 1997 (age 25)	Active	2014 – Present				Permitta Esports			$50,799	Global Offensive
F1KU	"Maciej ""F1KU"" Miklas (born May 29, 2003) is a Polish professional Counter-Strike: Global Offensive player for OG."	Maciej Miklas		Poland	May 29, 2003 (age 20)	Active	2017 – Present			Rifler	OG			$109,298	Global Offensive
Flayy	"Alan ""Flayy"" Krupa (born June 14, 2005) is a Polish professional Counter-Strike: Global Offensive player."	Alan Krupa		Poland	June 14, 2005 (age 18)	Active	2021 – Present			AWPer	LODIS			$4,779	Global Offensive
fr3nd	"Sebastian ""fr3nd"" Kuśmierz (born April 27, 2002) is a Polish professional Counter-Strike: Global Offensive player."	Sebastian Kuśmierz		Poland	April 27, 2002 (age 21)	Active	2018 – Present			AWPer	ThunderFlash			$12,689	Global Offensive
freo	"Tomasz ""freo"" Wolski (born January 9, 1999) is a Polish professional Counter-Strike: Global Offensive player and former professional FIFA player."	Tomasz Wolski		Poland	January  9, 1999 (age 24)	Active	2015 – 2018, 2019 – Present				LODIS			$3,535	Global Offensive
fullspeed	"Bartek ""fullspeed"" Długokęcki (born January 18, 1995) is a Polish professional Counter-Strike: Global Offensive player."	Bartek Długokęcki		Poland	January 18, 1995 (age 28)	Active	2015 – Present						fullspeedj, full	$5,472	Global Offensive
Furlan	"Damian ""Furlan"" Kisłowski (born December 29, 1994) is a Polish professional Counter-Strike: Global Offensive player."	Damian Kisłowski		Poland	December 29, 1994 (age 28)	Active	2013 – Present			entry fragger				$273,402	Global Offensive
gaB	"Gabriel ""gaB"" Jaroszuk (born April 29, 2000) is a Polish professional Counter-Strike: Global Offensive player."	Gabriel Jaroszuk		Poland	April 29, 2000 (age 23)	Active	2015 – Present							$8,082	Global Offensive
Goofy	"Krzysztof ""Goofy"" Górski (born August 29, 2000) is a Polish professional Counter-Strike: Global Offensive player."	Krzysztof Górski		Poland	August 29, 2000 (age 23)	Active	2017 – Present			Rifler	9INE			$81,310	Global Offensive
GruBy	"Dominik ""GruBy"" Świderski (born February 28, 1995) is a Polish professional Counter-Strike: Global Offensive player."	Dominik Świderski		Poland	February 28, 1995 (age 28)	Active	2014 – Present			support				$167,605	Global Offensive
gRuChA	"Kacper ""gRuChA"" Gruszeczka (born May 17, 2001) is a Polish professional Counter-Strike: Global Offensive player."	Kacper Gruszeczka		Poland	May 17, 2001 (age 22)	Active	2018 – Present			Rifler	Turów Zgorzelec Esport			$10,678	Global Offensive
hades	"Aleksander ""hades"" Miskiewicz (born January 1, 2000) is a Polish professional Counter-Strike: Global Offensive player. He resides in the United Kingdom."	Aleksander Miskiewicz		Poland	January  1, 2000 (age 23)	Active	2018 – Present			AWPer	9INE			$139,512	Global Offensive
Hanka	"Hania ""Hanka"" Pudlis (born March 26, 2004) is a Polish professional Counter-Strike: Global Offensive player."	Hania Pudlis		Poland	March 26, 2004 (age 19)	Active	2018 – Present			Rifler	NAVI Javelins		Haniaa	$17,506	Global Offensive
hotd0g	"Marcel ""hotd0g"" Maziejuk (born June 5, 2001) is a Polish professional Counter-Strike: Global Offensive player."	Marcel Maziejuk		Poland	June  5, 2001 (age 22)	Active	2021 – Present			Rifler	Permitta Esports			$3,813	Global Offensive
Hyper	"Bartosz ""Hyper"" Wolny (born January 1, 1990) is a Polish professional Counter-Strike: Global Offensive coach and a retired professional Counter-Strike: Global Offensive and Counter-Strike: Source player."	Bartosz Wolny		Poland	January  1, 1990 (age 33)	Active	2012 – 2016, 2017 – 2018, 	2016 – 2017, 2018 – Present		Coach			Hyper Water Dog	$24,829	Global Offensive
ifan	"Arkadiusz ""ifan"" Dabkowski (born August 13, 2000) is a Polish professional Counter-Strike: Global Offensive player."	Arkadiusz Dabkowski		Poland	August 13, 2000 (age 23)	Active	2018 – Present			Rifler	Raptors Esports Club			$3,512	Global Offensive
imd	"Adrian ""imd"" Pieper (formerly stylized as IMD) (born September 5, 1996) is a Polish professional Counter-Strike: Global Offensive coach and former player."	Adrian Pieper		Poland	September  5, 1996 (age 27)	Active	2014 – 2015	2017 – Present		Coach	Pompa Team		IMD, Ślepajstos	$220	Global Offensive
innocent	"Paweł ""innocent"" Mocek (born December 20, 1993) is a Polish professional Counter-Strike: Global Offensive player."	Paweł Mocek		Poland	December 20, 1993 (age 29)	Active	2011 – Present			entry fragger				$93,272	Global Offensive
iso	"Rafał ""iso"" Tync (born July 27, 1999) is a Polish professional Counter-Strike: Global Offensive player."	Rafał Tync		Poland	July 27, 1999 (age 24)	Active	2018 – Present			Rifler			ISO	$13,469	Global Offensive
jedqr	"Grzegorz ""jedqr"" Jędras (born November 3, 1998) is a Polish professional Counter-Strike: Global Offensive player."	Grzegorz Jędras		Poland	November  3, 1998 (age 24)	Active	2016 – Present			entry fragger				$37,627	Global Offensive
kadziu	"Adrian ""kadziu"" Lis (born March 16, 1998) is a Polish professional Counter-Strike: Global Offensive player."	Adrian Lis		Poland	March 16, 1998 (age 25)	Active	2019 – Present			Rifler	Turów Zgorzelec Esport			$7,153	Global Offensive
KEi	"Kamil ""KEi"" Pietkun (born April 6, 2001) is a Polish professional Counter-Strike: Global Offensive player. He currently resides in Germany."	Kamil Pietkun		Poland	April  6, 2001 (age 22)	Active	2018 – Present			entry fragger	9INE			$62,122	Global Offensive
Klameczka	"Kamil ""Klameczka"" Mętel (born June 9, 2002) is a Polish professional Counter-Strike: Global Offensive player."	Kamil Mętel		Poland	June  9, 2002 (age 21)	Active	2021 – Present			In-game leader	ThunderFlash			$6,478	Global Offensive
kRaSnaL	"Szymon ""kRaSnaL"" Mrozek (born April 2, 2003) is a Polish professional Counter-Strike: Global Offensive player."	Szymon Mrozek		Poland	April  2, 2003 (age 20)	Active	2019 – Present			Rifler	Monte			$88,895	Global Offensive
kuben	"Jakub ""kuben"" Gurczyński (born July 12, 1988) is a Polish professional Counter-Strike: Global Offensive coach and a former professional Counter-Strike: Global Offensive and Counter-Strike player. Best known for his time in the Golden Five lineup, it was announced in February 2015 that he would emerge from retirement to work as a coach for his former teammates in Virtus.pro. Following this, he coached his former teammates on Virtus.pro through their various iterations, winning numerous tournaments over his nearly five year tenure with the organization."	Jakub Gurczyński		Poland	July 12, 1988 (age 35)	Active	2004 – 2013	2015 – Present		Coach				$127,837	Global Offensive
KubiK	"Kuba ""KubiK"" Kubiak (born October 3, 1992) is a Polish professional Counter-Strike: Global Offensive coach, analyst, commentator and former player. He is currently working for ESL as a commentator."	Kuba Kubiak		Poland	October  3, 1992 (age 31)	Active	2014 – 2016	2015 – Present						$303	Global Offensive
Kylar	"Kacper ""Kylar"" Walukiewicz (born September 22, 1999) is a Polish professional Counter-Strike: Global Offensive player."	Kacper Walukiewicz		Poland	September 22, 1999 (age 24)	Active	2018 – Present			Rifler	9INE			$52,196	Global Offensive
Layner	"Dawid ""Layner"" Falczyński (born May 21, 1999) is a Polish professional Counter-Strike: Global Offensive player."	Dawid Falczyński		Poland	May 21, 1999 (age 24)	Active	2017 – Present			AWPer			LAYNER	$12,447	Global Offensive
leman	"Eryk ""leman"" Kocęba (born January 21, 1997) is a Polish professional Counter-Strike: Global Offensive player."	Eryk Kocęba		Poland	January 21, 1997 (age 26)	Active	2015 – Present			Rifler				$35,806	Global Offensive
Liina	"Karolina ""Liina"" Kasprzyk (born October 19, 1996) is a Polish professional Counter-Strike: Global Offensive player."	Karolina Kasprzyk		Poland	October 19, 1996 (age 26)	Active	2015 – Present			Rifler	NAVI Javelins			$17,525	Global Offensive
Loord	"Mariusz ""Loord"" Cybulski (born February 27, 1987) is a Polish professional Counter-Strike: Global Offensive coach and a former professional CS:GO and  Counter-Strike player. In September 2020, Loord received a 6-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at Team Kinguin and Aristocracy.  Additionally, he received a five Major ban in January 2021 from Valve due to exploiting the coaching bug. He was part of the famous Polish player group Golden Five, who were arguably one of the most successful teams in Counter-Strike history."	Mariusz Cybulski		Poland	February 27, 1987 (age 36)	Valve Banned	2005 – 2015	2015 – Present		Coach	IKLA		mnk1, lrd	$136,211	Global Offensive
lunAtic	"Dawid ""lunAtic"" Cieślak (born April 14, 1993) is a Polish professional Counter-Strike: Global Offensive player."	Dawid Cieślak		Poland	April 14, 1993 (age 30)	Active	2015 – Present			In-game leader	Anonymo Esports			$43,691	Global Offensive
Luz	"Maciej ""Luz"" Bugaj (born April 18, 1994) is a Polish professional Counter-Strike: Global Offensive coach and former player."	Maciej Bugaj		Poland	April 18, 1994 (age 29)	Active	2015 – 2021	2021 – Present		Coach			Luzu	$36,990	Global Offensive
m4tthi	"Mateusz ""m4tthi"" Szambelan (born June 11, 2001) is a Polish professional Counter-Strike: Global Offensive player."	Mateusz Szambelan		Poland	June 11, 2001 (age 22)	Active	2019 – Present			AWPer				$11,252	Global Offensive
maaryy	"Martin ""maaryy"" Nakonieczny (born June 19, 2001) is a Polish professional Counter-Strike: Global Offensive player."	Martin Nakonieczny		Poland	June 19, 2001 (age 22)	Active	2020 – Present			Rifler	Permitta Esports		maaryyy	$18,530	Global Offensive
mantuu	"Mateusz ""mantuu"" Wilczewski (born August 21, 1997) is a Polish-British professional Counter-Strike: Global Offensive player. He was a rifler before he joined OG as the primary AWPer.  Mantuu currently lives in Warsaw."	Mateusz Wilczewski		United Kingdom	August 21, 1997 (age 26)	Active	2015 – Present			AWPer	BIG		m4ntuu	$196,353	Global Offensive
Markoś	"Kuba ""Markoś"" Markowski (born September 5, 1998) is a Polish professional Counter-Strike: Global Offensive player."	Kuba Markowski		Poland	September  5, 1998 (age 25)	Active	2014 – Present			AWPer	Turów Zgorzelec Esport			$35,530	Global Offensive
mASKED	"Bartłomiej ""mASKED"" Trybuła (born January 2, 2001) is a Polish professional Counter-Strike: Global Offensive player. He used to be an AWPer before moving to a rifler position upon joining ex-HONORIS."	Bartłomiej Trybuła		Poland	January  2, 2001 (age 22)	Active	2019 – Present			In-game leader			masked	$17,524	Global Offensive
matty	"Mateusz ""matty"" Kołodziejczyk (born October 13, 1994) is a Polish professional Counter-Strike: Global Offensive player who is permanently banned from all Valve events for being involved with match fixing while a member of ALSEN Team/Ziomki."	Mateusz Kołodziejczyk		Poland	October 13, 1994 (age 28)	Valve Banned	2013 – Present			support				$31,659	Global Offensive
mchk	"Michał ""mchk"" Bartosiak (born August 14, 2001) is a Polish professional Counter-Strike: Global Offensive player."	Michał Bartosiak		Poland	August 14, 2001 (age 22)	Active	2019 – Present							$6,264	Global Offensive
mepsoN	"Alan ""mepsoN"" Ciszewski is an Inactive Polish professional Counter-Strike: Global Offensive player."	Alan Ciszewski		Poland		Inactive	2017 – 2021			Rifler				$1,925	Global Offensive
mhL	"Miłosz ""mhL"" Knasiak (born March 3, 2002) is a Polish professional Counter-Strike: Global Offensive player."	Miłosz Knasiak		Poland	March  3, 2002 (age 21)	Active	2018 – Present			AWPer	Team Falcons			$62,631	Global Offensive
MICHU	"Michał ""MICHU"" Müller (born December 29, 1996) is a Polish professional Counter-Strike: Global Offensive player."	Michał Müller		Poland	December 29, 1996 (age 26)	Active	2012 – Present			entry fragger	IKLA		m4jczu	$245,834	Global Offensive
miNIr0x	"Mikołaj ""miNIr0x"" Michałków (born August 10, 1997) is a Polish professional Counter-Strike: Global Offensive coach. In September 2020, miNIr0x received a 3.75-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at AGO Esports.  Additionally, he received a one Major ban in January 2021 from Valve due to exploiting the coaching bug."	Mikołaj Michałków		Poland	August 10, 1997 (age 26)	Valve Banned		2017 – Present		Coach	AGO esports				Global Offensive
MINISE	"Jacek ""MINISE"" Jeziak (born February 11, 1994) is a Polish professional Counter-Strike: Global Offensive and former professional Counter-Strike player."	Jacek Jeziak		Poland	February 11, 1994 (age 29)	Active	2010 – Present			AWPer			minise	$127,377	Global Offensive
mono	"Michał ""mono"" Gabszewicz (born September 4, 1995) is a Polish professional Counter-Strike: Global Offensive player."	Michał Gabszewicz		Poland	September  4, 1995 (age 28)	Active	2014 – Present			lurker				$41,815	Global Offensive
