Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
Hunter Tucker		United States	November  9, 2000 (age 22)	Active		2019 – Present	2021 – Present		FaZe Clan				Global Offensive
Joshua Micks		United States	December 26, 1998 (age 24)	Active		2018 – 2021, 2022 – Present	2018 – 2021, 2022 – Present						Global Offensive
Kiara Makua		United States	November 11, 1995 (age 27)	Active	2016 – Present			Rifler	Evil Geniuses Gold		milk	$27,979	Global Offensive
Nathan Retterath		United States	February 19, 1995 (age 28)	Active	2015 – 2019	2019 – 2020, 2021 – 2022, 2023 – Present						$3,743	Global Offensive
Marissa Dasta		United States	October  2, 2001 (age 22)	Active	2021 – Present			Rifler	FlyQuest RED			$9,985	Global Offensive
Max Sparrey		United States	May  1, 2001 (age 22)	Active	2020 – Present							$3,467	Global Offensive
Jack Ryan		United States	July 16, 2002 (age 21)	Active	2018 – Present			Rifler				$2,500	Global Offensive
Ian Hardy		United States	October 23, 1999 (age 23)	Active	2015 – Present			entry fragger	Limitless			$70,788	Global Offensive
Joeseph Lima		United States	October 16, 1994 (age 28)	Active		2018 – Present		Coach	Evil Geniuses Gold		Muenster		Global Offensive
Matthew Seymour		United States	June 22, 1999 (age 24)	Active	2017 – Present			AWPer	Rocket			$5,165	Global Offensive
Noah Francis		United States	November 23, 1997 (age 25)	Active	2015 – 2020, 2022 – Present						Nift	$106,831	Global Offensive
Carson O'Reilly		United States	February 24, 2000 (age 23)	Active	2018 – Present			Rifler	Nouns Esports			$69,069	Global Offensive
Joshua Ohm		United States	May 31, 1999 (age 24)	Active	2016 – Present			AWPer	Team Liquid			$249,053	Global Offensive
Marco Hernandez		United States	June 10, 2002 (age 21)	Active	2020 – Present			Rifler				$6,409	Global Offensive
Spencer Moore		United States	October 19, 2001 (age 21)	Active	2019 – Present			In-game leader				$5,980	Global Offensive
Josh Pigue		United States	January 14, 1991 (age 32)	Active	2017 – Present			AWPer	Party Astronauts			$116,050	Global Offensive
Ethan Serrano		United States	November 22, 2003 (age 19)	Active	2018 – Present			Rifler	M80		ReckMONSTER	$18,418	Global Offensive
William Thomas Wierzba		United States	May  5, 1994 (age 29)	Active	2012 – Present			support				$629,520	Global Offensive
Dylan Finch		United States	February 24, 2002 (age 21)	Inactive	2019 – 2022			Rifler				$8,590	Global Offensive
Charissa Hoang		United States	August 22, 1988 (age 35)	Active	2014 – Present			Rifler				$3,792	Global Offensive
Alan Hardeman		United States	January  4, 1998 (age 25)	Active	2016 – 2018, 2018 – 2019, 2020 – 2022, 	2018 2019 – 2020, 2023 – Present		Assistant Coach				$53,667	Global Offensive
Shane Dressler		United States	May 20, 2003 (age 20)	Active	2019 – Present			Rifler				$9,630	Global Offensive
Silas Marrufo		United States	August 17, 2002 (age 21)	Active	2020 – Present			Rifler				$6,002	Global Offensive
Keller Nilan		United States	October 24, 2002 (age 20)	Active	2019 – Present			AWPer	Wildcard Gaming			$22,511	Global Offensive
Ryan Amann		United States	July 10, 2002 (age 21)	Active	2016 – 2020, 2022 – Present							$10,967	Global Offensive
Wyatt Phillippi		United States	January 16, 2001 (age 22)	Active	2019 – Present	2023 – Present		In-game leader	Badass Gaming			$20,030	Global Offensive
Max Wallace		United States	September  8, 1998 (age 25)	Active	2016 – Present			In-game leader				$4,515	Global Offensive
William Smith		United States	April  9, 2003 (age 20)	Active	2021 – Present			Rifler	Party Astronauts			$6,660	Global Offensive
Gabe Greiner		United States	September 21, 1999 (age 24)	Active	2016 – 2022, 2023 – Present	2021		Rifler				$51,724	Global Offensive
Bobby Eitrem		United States	January 19, 1999 (age 24)	Active	2018 – 2020, 2021 – Present							$20,250	Global Offensive
Jacky Yip		United States	January  7, 1998 (age 25)	Inactive	2015 – 2022					The Smoke Criminal	Jake, Stewie, Stew, stew-iwnl	$1,177,907	Global Offensive
Christopher Swahn		United States	February 19, 1998 (age 25)	Active	2016 – Present			AWPer			SwahN	$7,848	Global Offensive
Michael Schmid		United States	September 17, 1998 (age 25)	Active	2017 – Present			entry fragger	M80			$78,645	Global Offensive
Andrew Cote		United States	April  8, 2002 (age 21)	Active	2021 – Present			Rifler	WITHOUTWARNING			$6,708	Global Offensive
Tyler Weiss		United States	March 23, 1999 (age 24)	Active	2016 – Present			Rifler				$5,370	Global Offensive
Kelsie Click		United States	February 24, 2003 (age 20)	Active	2021 – Present			Rifler	FlyQuest RED			$12,510	Global Offensive
Umar Qaiser		United States	May 14, 2001 (age 22)	Active	2020 – Present			AWPer	Bad News Bears			$21,703	Global Offensive
Vanessa Gideon		United States	July  6, 2000 (age 23)	Active	2020 – Present			Rifler	Evil Geniuses Gold		Vanessa	$7,092	Global Offensive
Luke Carstens		United States	June 23, 2000 (age 23)	Active		2022 – Present		Coach	Party Astronauts				Global Offensive
Matt Dickens		United States	April 25, 1985 (age 38)	Active	2003 – 2015	2015 – 2019, 2023 – Present		Coach	Forsaken			$61,215	Global Offensive
Reece Wilkerson		United States	August 11, 2000 (age 23)	Active	2018 – Present			Rifler				$9,715	Global Offensive
Jerric Jiang		United States	February 21, 2001 (age 22)	Active	2018 – Present			AWPer	Forsaken			$36,533	Global Offensive
Kyle Greenfield		United States	November 10, 2001 (age 21)	Active	2018 – 2021, 2021 – 2022, 2022 – 2023, 2023 – Present			Rifler	Unjustified Gaming			$23,368	Global Offensive
Adam Andersson		Sweden	December  8, 1998 (age 24)	Active	2015 – Present				M80			$57,102	Global Offensive
Jack Holiman		United States	May  6, 2000 (age 23)	Inactive	2016 – 2020, 2021 – 2022, 			entry fragger			1xCeeD	$14,122	Global Offensive
Zechrie Elshani		United States	February  2, 2001 (age 22)	Active	2017 – 2018, 2020 – Present						v1king, Pungsy	$47,069	Global Offensive
Alexander Diaz		United States	September 23, 1996 (age 27)	Active	2014 – 2021, 2022 – Present						zander	$4,864	Global Offensive
Franco Manuel Garcia Cabrera		Uruguay	May 12, 2001 (age 22)	Active	2017 – Present			lurker	9z Team		fran-^ssj, KNARF	$62,664	Global Offensive
Juan Reyes		Uruguay	December 16, 1995 (age 27)	Active	2015 – Present						DILLIONZAO, harper	$7,059	Global Offensive
Nelvin Andres Gonzalez Rodriguez		Venezuela	September 12, 1995 (age 28)	Active	2016 – Present			entry fragger	the jungle			$3,714	Global Offensive
Akram Smida		Australia	March  8, 2001 (age 22)	Active	2017 – Present			AWPer	Rooster		jhdrock, jhd, adking	$8,268	Global Offensive
Alistair Johnston		Australia	April  7, 1998 (age 25)	Active	2015 – Present			AWPer	Grayhound Gaming			$73,688	Global Offensive
Mike Aliferis		Australia	October  9, 1987 (age 36)	Active	2006 – 2010, 2013 – Present			support			moku, ap0c, ap0cdud	$32,956	Global Offensive
Tom Henry		Australia	January 31, 1999 (age 24)	Active	2016 – Present							$13,224	Global Offensive
Tyson Paterson		Australia	May  1, 2003 (age 20)	Active	2019 – Present			Rifler	Rooster			$8,212	Global Offensive
Aaron Christian Charles Ward		Australia	October  2, 1992 (age 31)	Active	2013 – Present							$219,028	Global Offensive
Vivienne Quach		Australia	December  5, 2002 (age 20)	Active	2019 – Present			entry fragger	FlyQuest RED			$9,505	Global Offensive
Peter Athanasatos		Australia	October 14, 1992 (age 30)	Active	2016 – Present						bl0jtz	$18,062	Global Offensive
Toby Barnes		Australia	August 17, 1999 (age 24)	Active	2016 – Present				VERTEX Esports Club			$10,813	Global Offensive
Sharvesh Saravanan		Australia	May  2, 2000 (age 23)	Active	2016 – Present			Rifler	Mindfreak			$6,444	Global Offensive
Daniel Giusa		Australia		Active	2018 – Present			Rifler				$5,629	Global Offensive
Daniel Whitfield		Australia	February 18, 1994 (age 29)	Active	2014 – Present						DANZ4L	$2,349	Global Offensive
Christopher Nong		Australia	August 15, 1994 (age 29)	Active	2015 – Present				Fnatic			$188,060	Global Offensive
Luke Blakey		Australia	March  4, 1995 (age 28)	Active	2016 – 2021, 2022 – Present			AWPer				$5,130	Global Offensive
Maclane Cross		Australia	December 29, 2003 (age 19)	Active	2019 – Present			Rifler	Revenant Esports		Gumpton	$12,389	Global Offensive
Jordan Bajic		Australia	June 20, 1998 (age 25)	Active	2015 – Present			entry fragger			hatzau	$72,518	Global Offensive
Jared O'Bree		Australia	December  8, 2001 (age 21)	Active	2016 – Present				VERTEX Esports Club			$26,735	Global Offensive
Hugh Anderson		Australia	March 31, 2000 (age 23)	Active	2016 – Present			Rifler			stat	$15,181	Global Offensive
Jesse Barker		Australia	September 28, 1994 (age 29)	Inactive	2015 – 2019, 2022			AWPer				$15,344	Global Offensive
Joshua Potter		Australia	September 22, 1998 (age 25)	Active	2015 – Present				Grayhound Gaming		inseNse	$92,123	Global Offensive
Jireh Youakim		Australia	May  1, 2000 (age 23)	Active	2016 – Present						SniperInHD	$24,562	Global Offensive
James Quinn		Australia	March 22, 1994 (age 29)	Active	2014 – 2019, 2022 – Present				Antic Esports			$11,967	Global Offensive
Chris Moseley		Australia	April 27, 1997 (age 26)	Active	2016 – 2020, 2022 – Present			Rifler			Xxnij, jNx	$4,375	Global Offensive
Justin Savage		Australia	December 12, 1995 (age 27)	Active	2010 – Present			Rifler	G2 Esports			$663,757	Global Offensive
Sam Molan		Australia	January  7, 1997 (age 26)	Active	2015 – 2017, 2022 – Present				Antic Esports			$3,835	Global Offensive
David Kingsford		Australia	October 16, 1996 (age 26)	Active	2016 – 2018, 2019	2018 – 2019, 2019 – Present		Coach	VERTEX Esports Club		Kingfishr	$562	Global Offensive
John James Tregillgas		Australia	August 30, 1997 (age 26)	Active	2015 – Present			lurker	Grayhound Gaming		liazz, lyas	$143,874	Global Offensive
Benson Niuila		Australia	August 21, 1998 (age 25)	Active	2019 – Present						LikiAU	$14,727	Global Offensive
Luke Merchant		Australia	November 22, 1999 (age 23)	Active	2017 – Present							$5,597	Global Offensive
Liam Schembri		Malta	November  1, 1995 (age 27)	Active	2015 – Present				VERTEX Esports Club		ManFromMalta, MFM	$103,785	Global Offensive
Daryl May		Australia	August 11, 1998 (age 25)	Active	2017 – 2020, 2021 – Present	2021		Rifler			MiracleMayker	$3,973	Global Offensive
Matt Webster		Australia	February  9, 1996 (age 27)	Active	2019 – Present			Rifler			Mizzy	$5,545	Global Offensive
محمد تيزاني	Mohammed Tizani	Australia	January 15, 1993 (age 30)	Active	2008 – 2020	2020 – Present						$15,435	Global Offensive
Nikhil Victor		Australia	May 16, 1995 (age 28)	Active	2013 – 2019, 2021 – Present			Rifler				$4,038	Global Offensive
Alec Gulabovski		Australia	March  1, 1996 (age 27)	Active	2016 – 2020, 2022 – Present			lurker	Antic Esports		Noisia	$6,082	Global Offensive
Andy Zhang		Australia	August  2, 1996 (age 27)	Inactive	2015 – 2020						noobstR	$5,712	Global Offensive
Peter Souvlis		Australia	January 25, 1988 (age 35)	Inactive	2013 – 2019							$2,150	Global Offensive
ប្រាក់ ម៉ុនតេរ៉ា	Prak Montheara	Cambodia	March 25, 1996 (age 27)	Active	2015 – 2019, 2020 – Present						Sora	$3,839	Global Offensive
Jordan White		Australia	October 16, 1999 (age 23)	Active	2019 – Present				VERTEX Esports Club		Pineapplezip	$11,851	Global Offensive
Daniel Urbani		Australia	January 15, 1994 (age 29)	Active	2014 – Present						urbz, rbzn	$5,368	Global Offensive
Daniel Mort		Australia	March 30, 2001 (age 22)	Active	2018 – Present							$3,152	Global Offensive
James Lytras		Australia	July  3, 1999 (age 24)	Active	2018 – 2022, 2022 – 2023, 2023 – Present	2023		Rifler	DXA Esports			$10,789	Global Offensive
James Savage		Australia	February  2, 2005 (age 18)	Active	2020 – Present			Rifler				$13,378	Global Offensive
Jordan Newland		Australia	January  1, 1998 (age 25)	Active	2016 – Present			Rifler			Skullhunter	$5,955	Global Offensive
Tynan Purtell		Australia	June 10, 2002 (age 21)	Active	2020 2021 – Present			Rifler	Rooster			$3,482	Global Offensive
Tyler Reilly		Australia	August 18, 1996 (age 27)	VAC Banned	2015 – 2020, 2022 – Present	2020		Rifler	Mindfreak			$31,776	Global Offensive
Karlo Pivac		Australia	August 10, 1993 (age 30)	Active	2014 – Present			Rifler				$134,355	Global Offensive
Matthew Hartrick		Australia	October 11, 2000 (age 22)	Inactive	2017 – 2022			Rifler				$24,777	Global Offensive
Reily Dundas		Australia	December  5, 2002 (age 20)	Active	2019 – Present				Mindfreak			$6,747	Global Offensive
Declan Portelli		Australia	September  5, 2004 (age 19)	Active	2018 – Present			Rifler	Grayhound Gaming			$25,138	Global Offensive
Kobi Wallis		Australia	January 25, 1994 (age 29)	Active	2015 2018 – 2020, 	2021 – Present		Coach				$1,512	Global Offensive
Chris McGillivray		Australia	June 15, 1992 (age 31)	Active	2013 – 2018, 2020 – Present			Rifler			yellowww, yelowwwwwww	$2,966	Global Offensive
William Allchin		Australia	August 25, 1999 (age 24)	Active	2016 – Present							$7,388	Global Offensive
Christian Pendleton		New Zealand	September 29, 2000 (age 23)	Active	2019 – Present			Rifler	VERTEX Esports Club		addict	$7,752	Global Offensive
Michael Hawkins		New Zealand	May 24, 2000 (age 23)	Active	2017 – Present			AWPer	Rooster			$10,999	Global Offensive
Aidan Wood		United States	March 15, 1999 (age 24)	Active	2020 – Present			Rifler				$5,085	Global Offensive
Sean Kaiwai		New Zealand	March  6, 1996 (age 27)	Active	2015 – Present			AWPer	Team NKT		Gratata	$126,812	Global Offensive
Corey Browne		New Zealand	July 30, 2003 (age 20)	Active	2018 – Present			Rifler	Rooster			$8,499	Global Offensive
Simon Williams		New Zealand	August  8, 1994 (age 29)	Active	2014 – Present			Rifler	Grayhound Gaming			$85,826	Global Offensive
Euan Moore		New Zealand	June 27, 1998 (age 25)	Active	2016 – Present			AWPer			st3rl1ng	$33,670	Global Offensive
刘致维	Liu Zhiwei	China	June 18, 1996 (age 27)	Active	2016 – Present			Rifler	Invictus Gaming		Oisaber, 猪猪洗jio	$41,709	Global Offensive
阳婷	Yang Ting	China		Inactive	2016 – 2021						zhut129	$10,892	Global Offensive
刘宇超	Liu Yuchao	China	July  1, 1994 (age 29)	Active	2017 – Present			Rifler	Steel Helmet		18GO, 18yMGO, nighttime, 18`Meńg, 1osst4ux1	$20,738	Global Offensive
孙舒豪	Sun Shuhao	China	December 14, 1999 (age 23)	Inactive	2015 – Present			Rifler			333, Suibianwanwan	$14,164	Global Offensive
于照衡	ZhaoHeng Yu	China	August 13, 1990 (age 33)	Active	2014 – 2020	2023 – Present		Coach	Wings Up Gaming			$3,458	Global Offensive
梁卓	Liang Zhuo	China	June 16, 1992 (age 31)	Active	2013 – Present	2017 2018			TYLOO		259, 真不错	$170,946	Global Offensive
龙震	Long Zhen	China	March 28, 1998 (age 25)	Inactive	2018 – Present			Rifler			LZ, 我热爱的	$18,688	Global Offensive
金聖埈	Jin Shengjun	China	May 13, 2004 (age 19)	Active	2021 – Present			Rifler	TYLOO			$1,938	Global Offensive
盛元璋	Sheng Yuanzhang	China	January  7, 1997 (age 26)	Active	2014 – Present			entry fragger	TYLOO		f0restwOw,  AttackeR,  Attacker!!!,  白菜,  fattacker,  高考状元	$203,134	Global Offensive
刘治宏	Liu Zhihong	China	July 16, 1994 (age 29)	Active	2013 – Present						steV, Missuki, uki, ActIIIMOTTE	$98,054	Global Offensive
郑洋洋	Zheng Yangyang	China	August  2, 1998 (age 25)	Inactive	2015 – Present			Rifler			只想赢不互动	$23,720	Global Offensive
杨哲	Yang Zhe	China	January 15, 1997 (age 26)	Inactive	2017 – Present			entry fragger			AVEON, AYEONLY, BANSHE, 湛江shroud	$11,936	Global Offensive
代雪冰	Dai Xuebing	China	November 28, 1999 (age 23)	Active	2017 – Present				ChaoRan Gaming		4K1NG	$21,116	Global Offensive
毛磊	Mao Lei	China	February  7, 1994 (age 29)	Inactive	2013 – Present			Rifler			bottlejr, bottleljr	$60,582	Global Offensive
刘珂	Liu Ke	China	May 30, 1989 (age 34)	Active	2011 – Present				Steel Helmet		Mo	$232,916	Global Offensive
王斌杰	Wang Binjie	China		Active	2016 – Present			Rifler	ChaoRan Gaming		JohnWick	$7,933	Global Offensive
卢飞宇	Lu Feiyu	China		Active	2016 – Present						CHEATER肥7, 地狱修罗点夜宵了	$2,148	Global Offensive
彭俊豪	Peng Junhao	China	February 22, 2000 (age 23)	Active	2019 – Present			Rifler	Wings Up Gaming		子豪, 孩子王	$24,029	Global Offensive
刘坤	Liu Kun	China	July 14, 1991 (age 32)	Active	2016 – 2017				Lynn Vision Gaming		Chrisma, ChrisMa, sh6x	$10,301	Global Offensive
牛哲	Niu Zhe	China	July 21, 2004 (age 19)	Active	2022 – Present			Rifler	Lord Rabbit Gaming		prxzN, Nelly	$10,179	Global Offensive
吕郑豪	Lv Zhenghao	China	September 15, 1999 (age 24)	Active	2017 – Present			AWPer	TYLOO		DANKING	$55,923	Global Offensive
谢昊志	Xie Haozhi	China	August 22, 1998 (age 25)	Inactive	2016 – 2019, 2020 – Present	2019 – 2020					embrace, hypnotizing, tasteofyourlips, 1Leaf, EMBER RISE, EternaLEnVy-	$950	Global Offensive
叶枝高	Ye Zhigao	China	September 29, 1993 (age 30)	Active	2012 – Present				WDNMD	全Douyu家庭地位最高的男人, Douyu Toilet, Cerebral Palsy, SB, Useless Things, Jay Chou of Yuyao, Lonely Warrior of Yuyao, ZOWIE Spokesperson, 那咋办嘛, 0.17, Douyu直播63136	DGQ, YZG, 椰汁糕冬瓜强, 椰汁糕, 冬瓜强, 冬瓜, DouyuNT冬瓜强, NT冬瓜强	$8,507	Global Offensive
张智涛	Zhang Zhitao	China	November 10, 1994 (age 28)	Inactive	2016 – Present							$28,664	Global Offensive
韩天奇	Han Tianqi	China		Active	2012 – Present	2018 – 2018					ed101sg, sg101	$14,701	Global Offensive
汤骏杰	Tang Junjie	China	August 23, 2004 (age 19)	Active	2021 – Present			Rifler	Lynn Vision Gaming	花仔 一朵花sama	Emilia, Mr.hua	$9,845	Global Offensive
杨桁	Yang Heng	China	August 12, 1998 (age 25)	Active	2016 – Present				Rare Atom		expro, olofMEISTERr, exproQ	$32,195	Global Offensive
孔庆辉	Kong Qinghui	China		Active	2013 – Present			Rifler			equal, sKittLes, QasimBabe	$9,874	Global Offensive
宋佩奇	Song Peiqi	China	October  8, 2001 (age 22)	Active	2018 – Present			Rifler	Wings Up Gaming		Fly1n9	$40,031	Global Offensive
He Tianyi		China	September 21, 1999 (age 24)	Active	2020 – Present			Rifler	Badass Gaming			$10,531	Global Offensive
邓涛	Deng Tao	China	October 26, 1993 (age 29)	Active	2016 – Present			Rifler	WDNMD		Spikelone	$18,679	Global Offensive
丁一	Ding Yi	China	January 13, 1996 (age 27)	Active	2012 – Present			Rifler	Wings Up Gaming		虎神, pohant, gas～	$24,630	Global Offensive
叶茂	Ye Mao	China		Active		2017 – Present		Coach	Noobs But Diligent		彩虹面包, GRiFFiN	$753	Global Offensive
杨易	Yang Yi	China	July 23, 2001 (age 22)	Active	2019 – Present			Rifler	TYLOO		小鞠, jyyyyy	$68,695	Global Offensive
季冬凯	Ji Dongkai	China	December 21, 2004 (age 18)	Active	2021 – Present			AWPer	Lynn Vision Gaming	小将	JeexD, jee1221	$12,850	Global Offensive
朱谢霖	Zhu Xielin	China	June 23, 2001 (age 22)	Active	2018 – 2019	2020 – Present		Coach	TYLOO		Kami, Cyberangel	$430	Global Offensive
王曦	Wang Xi	China	April 23, 1988 (age 35)	Active	2009 – 2016, 2016 – 2017, 2020	2016 2017 2022 - present		Coach	NewHappy		wx, f0urtwothree, 王卡尔	$23,754	Global Offensive
苏麒芳	Su Qifang	China	February 29, 1992 (age 31)	Active	2013 – 2016, 2017 – Present	2016 – 2017, 2020 – Present	2021 – 2022		WDNMD		kstanlens, kSTANLENSs, KarsaJESUS, Karsamzing, fershits, mafia	$40,544	Global Offensive
周一帆	Zhou Yifan	China	June 21, 1999 (age 24)	5EPlay Banned	2016 – 2018, 2020 – Present			Rifler			KELELE, KeLeLe, Loy$	$4,577	Global Offensive
罗利勘	Luo Likan	China	October  4, 1986 (age 37)	Active	2005 – 2019	2017 – Present		Coach			Kz, ryk, K|ngz, 大头, Rabbit	$62,846	Global Offensive
郭宇凡	Guo Yufan	China		Inactive	2016 – Present						ennovY, Yvonne	$12,893	Global Offensive
张怀亮	Zhang Huailiang	China	April 25, 1992 (age 31)	Active	2016 – Present			Rifler				$15,132	Global Offensive
王振伟	Wang Zhenwei	China		Active	2016 – Present			Rifler	E9 esports		SweetKy, neverland	$9,509	Global Offensive
方东梅	Fang Dongmei	China	June 20, 1995 (age 28)	Active	2015 – Present				HSG		KARMY, 鬼妹	$12,992	Global Offensive
白坤华	Bai Kunhua	China	January  9, 1989 (age 34)	Inactive	2015 – 2022			entry fragger			NABALUAN, 白警官	$102,429	Global Offensive
何超	He Chao	China		Active	2019 – Present			Rifler				$9,054	Global Offensive
汪靖翔	Wang Jingxiang	China	December 15, 2000 (age 22)	Active	2021 – Present			Rifler	TYLOO		0QAQ01, 双层吉士汉堡	$28,970	Global Offensive
铭文	Ming Wen	China		Active		2020 – Present	2017				ProjectAIM		Global Offensive
邓清予	Deng Qingyu	China	February 26, 2000 (age 23)	5EPlay Banned	2016 – 2020, 2022			AWPer			二毛, 浦东拳击手, ermao	$12,879	Global Offensive
陈千豪	Chen Qianhao	China	December 21, 2004 (age 18)	Active	2020 – Present			Rifler	TYLOO		moseyuh, Mosey17	$19,925	Global Offensive
王祎楠	Wang Yinan	China		Active	2017 – Present			Rifler	WDNMD			$17,909	Global Offensive
张紫阳	Zhang Ziyang	China	December  7, 2000 (age 22)	Inactive	2016 – 2020, 2021 – 2022, 			Rifler			dizzywi, Zzy	$3,697	Global Offensive
莫振栋	Mo Zhendong	China	January  8, 1990 (age 33)	Inactive	2012 – 2020	2020					NOTINSPIRES, Not77tAt, Not77, Not7, 爱猪	$24,533	Global Offensive
	Long Kiki	China	October  7, 2004 (age 19)	Active	2021 – Present			AWPer	Evil Geniuses Gold		PiggyKiKi	$3,390	Global Offensive
洪薇	Hong Wei	China		Active	2017 – 2018, 2022 – Present						miniPororo	$5,646	Global Offensive
付志海	Fu Zhihai	China	January 29, 1994 (age 29)	Active	2016 – Present			AWPer	WDNMD			$29,719	Global Offensive
瞿泳	Qu Yong	China	October  2, 1987 (age 36)	Active	2012 – Present				Xi'anTaiChangGui		ququ, QuQu	$45,593	Global Offensive
吴权清	Wu Quanqing	China	June  1, 1991 (age 32)	VAC Banned	2012 – 2018, 2019 – Present						qiezi, 茄子, 年轻人	$22,460	Global Offensive
Hao Yu		China		Active	2019 – Present			Rifler	Invictus Gaming			$4,689	Global Offensive
黄镖洪	Huang Biaohong	China	June 20, 1988 (age 35)	Active	2007 – 2019	2017 – 2020, 2022 – Present					waerjili	$53,173	Global Offensive
​万浩	Wan Hao	China		Active	2013 – Present			Rifler			我是大奔驰	$9,792	Global Offensive
吴润波	Wu Runbo	China	July  5, 1984 (age 39)	Active	2005 – Present	2018 – 2019			Let's Quit		6kula	$38,535	Global Offensive
刘斌	Liu Bin	China	March  1, 1989 (age 34)	Active	2006 – Present						Savageoh, Savagemie, Savagexmy, 547493	$148,124	Global Offensive
王威	Wang Wei	China	September 15, 1990 (age 33)	Active	2016 – Present			Rifler			耍大牌, sally, 2m	$34,573	Global Offensive
孙孝文	Sun Xiaowen	China	February 18, 1991 (age 32)	Inactive	2016 – 2020			Rifler			Sideny蛇, 斯内克	$2,845	Global Offensive
孙科伦	Sun Kelun	China	September 23, 2001 (age 22)	Active	2017 – Present			entry fragger	TYLOO		slowlyyyyy, 缺S1ow, slow1y, despacitolan, venru, theaulait, faraway	$62,169	Global Offensive
许昊文	Xu Haowen	China	July  3, 1995 (age 28)	Active	2013 – 2022, 2022 – Present			Rifler			FIRST3H, FIRSt3H, Somebody, SOMEBODY	$266,738	Global Offensive
孙旻辉	Sun Minhui	China		Active	2014 – 2017	2019 – 2021		Coach	Invictus Gaming			$4,340	Global Offensive
朱佳楠	Zhu Jianan	China		Inactive	2016 – 2017, 2018 – 2019, 	2017 2019 – Present		Coach			stark, StanM	$5,025	Global Offensive
叶力至	Ye Lizhi	China	January  3, 2005 (age 18)	Active	2020 – Present			Rifler	Lynn Vision Gaming			$25,796	Global Offensive
张炎	Zhang Yan	China		Active				Coach				$2,834	Global Offensive
陈云龙	Chen Yunlong	China	August  2, 2000 (age 23)	Active	2017 – Present						SugarRR, comeback, Tfug, fatsugarnn	$4,192	Global Offensive
蔡誉伦	Cai Yulun	China	May 16, 1997 (age 26)	Active	2012 – Present				Rare Atom		fancy1, cy1, 凡洗, 凡茜, fancyHOUGE, fancySummer, Summer呀	$210,846	Global Offensive
周振威	Zhou Zhenwei	China		Active	2016 – Present			Rifler			GN1KNAT	$5,531	Global Offensive
李秉垣	Li Bingyuan	China	December  5, 1990 (age 32)	Active	2009 – Present			In-game leader	WDNMD			$146,675	Global Offensive
丁顺杰	Ding Shunjie	China		Inactive	2011 – 2018	2019 – Present		Coach			RAMPAGE, reichpost	$2,016	Global Offensive
王鹏远	Wang Pengyuan	China		Active	2019 – Present							$8,649	Global Offensive
牛哲	Niu Zhe	China	February  4, 2001 (age 22)	Active	2013 – Present			Rifler	Lynn Vision Gaming		XG, 西瓜, watermelon, NZ__	$42,856	Global Offensive
蒋滨徽	Jiang Binhui	China	February  5, 2000 (age 23)	Active	2016 – Present						wuyu❤，五更瑠璃❤	$3,272	Global Offensive
宋朋	Song Peng	China	January 15, 1990 (age 33)	Active	2016 – 2021, 2021 – Present			lurker	Steel Helmet		Kilter	$73,665	Global Offensive
	RuiXuan Ma	China		Active		2019 – Present		Coach			我的小惜子, Trigger, MatsuokaXizi	$431	Counter-Strike 2
金鑫	Jin Xin	China	January 11, 1998 (age 25)	Active	2016 – Present			Rifler	Invictus Gaming		XyGzzz, XyG	$3,988	Global Offensive
张斯柯	Zhang Sike	China	November 14, 2002 (age 20)	Active	2019 – Present				Lynn Vision Gaming		mitsuha, 三叶, Mitsuha1337, Sans	$42,767	Global Offensive
刘正辉	Liu Zhenghui	China	June  4, 1989 (age 34)	Active	2012 – 2016, 2019 – 2021, 	2017 – 2020, 2022 – Present		Rifler			猪八戒, z8zoOoOoOOO, btjq	$6,183	Global Offensive
钟伟杰	Zhong Weijie	China	December  7, 1993 (age 29)	Active	2014 – 2023		2023 – Present	Analyst	TYLOO		zhonG	$151,580	Global Offensive
李志威	Li Zhiwei	China		Active	2017 – Present			AWPer				$7,758	Global Offensive
Wan Ying Chiu	YingChiu Wan	Hong Kong	June  5, 1998 (age 25)	Active	2015 – Present							$1,580	Global Offensive
李之楠	Li Chi-nam	Hong Kong	November 20, 1991 (age 31)	Active	2008 – Present			Rifler	Only One Word			$6,942	Global Offensive
蔡小龍	Choi Siu Lung	Hong Kong	December 25, 1999 (age 23)	Active	2015 – Present						brucelee, brucelee1	$1,049	Global Offensive
張穎熹	Cheung Wing-hei	Hong Kong	July 25, 1999 (age 24)	Active	2015 – 2020, 2021 – Present			entry fragger	TYLOO			$86,654	Global Offensive
黃諾謙	Wong Nok-him	Hong Kong	December 24, 2000 (age 22)	Active	2015 – Present			Rifler			H1mz, dlwlrua	$3,306	Global Offensive
方倩雯	Fong Sin-man	Hong Kong	May  3, 1995 (age 28)	Active	2015 – Present				HSG			$19,972	Global Offensive
何洵熙	Ho Shun-hei	Hong Kong		Active	2016 – 2019, 2020 2021 – Present			Rifler	Only One Word		HeiBBB	$6,085	Global Offensive
Yiu On Wong		Hong Kong		Active	2017 – Present			entry fragger	Only One Word		protato, jeffvanb	$6,312	Global Offensive
Justin Tom Ka-chun		Hong Kong		Active	2016 – Present			entry fragger	Only One Word		tkcc	$1,916	Global Offensive
曾胤彤	Chan Yan-tung	Hong Kong	August 17, 2000 (age 23)	Inactive	2015 – Present			Rifler				$1,617	Global Offensive
